time,module,step,status,message
2026-04-10 13:23:00 PHT,Check if Request for Complimentary Evaluation section is present, ,INFO,START
2026-04-10 13:23:06 PHT,https://purdue.ltcrplus.com/,Navigate through Family Care Concierge Benefits,PASS,PASS
2026-04-10 13:23:08 PHT,https://purdue.ltcrplus.com/,Navigate through Multiple Carriers,PASS,PASS
2026-04-10 13:23:11 PHT,https://purdue.ltcrplus.com/,Navigate through Multiple Product,PASS,PASS
2026-04-10 13:23:13 PHT,https://purdue.ltcrplus.com/,Navigate through Exclusive Group Discounts,PASS,PASS
2026-04-10 13:23:16 PHT,https://purdue.ltcrplus.com/,Navigate through Underwriting,PASS,PASS
2026-04-10 13:23:18 PHT,https://purdue.ltcrplus.com/,Lifetime Advocacy - Support,PASS,PASS
2026-04-10 13:23:22 PHT,https://purdue.ltcrplus.com/,LTC Funding Research,PASS,PASS
2026-04-10 13:23:24 PHT,https://purdue.ltcrplus.com/,Members / Consumers,PASS,PASS
2026-04-10 13:23:27 PHT,https://purdue.ltcrplus.com/,Agents / Advisers,PASS,PASS
2026-04-10 13:23:34 PHT,https://purdue.ltcrplus.com/,Affinity Groups / Financial Institutions,FAIL,"[2mexpect([22m[31mpage[39m[2m).[22mtoHaveURL[2m([22m[32mexpected[39m[2m)[22m failed

Expected: [32m""https://ltcrplus.com/affinity-groups-financial-institutions/[7m/[27m""[39m
Received: [31m""https://ltcrplus.com/affinity-groups-financial-institutions/""[39m
Timeout:  5000ms

Call log:
[2m  - Expect ""toHaveURL"" with timeout 5000ms[22m
[2m    9 × unexpected value ""https://ltcrplus.com/affinity-groups-financial-institutions/""[22m
"
2026-04-10 13:23:43 PHT,https://uncaa.ltcrplus.com/,Navigate through Family Care Concierge Benefits,PASS,PASS
2026-04-10 13:23:47 PHT,https://uncaa.ltcrplus.com/,Navigate through Multiple Carriers,PASS,PASS
2026-04-10 13:23:49 PHT,https://uncaa.ltcrplus.com/,Navigate through Multiple Product,PASS,PASS
2026-04-10 13:23:53 PHT,https://uncaa.ltcrplus.com/,Navigate through Exclusive Group Discounts,PASS,PASS
2026-04-10 13:23:57 PHT,https://uncaa.ltcrplus.com/,Navigate through Underwriting,PASS,PASS
2026-04-10 13:24:01 PHT,https://uncaa.ltcrplus.com/,Lifetime Advocacy - Support,PASS,PASS
2026-04-10 13:24:07 PHT,https://uncaa.ltcrplus.com/,LTC Funding Research,PASS,PASS
